epoch,train_loss,val_loss,val_dice,val_iou,lr,epoch_time_sec
1,0.6334011554718018,0.614297941327095,0.1607759846614054,0.10027840254482763,0.001,13.587649799999781
2,0.5421831117322048,0.5203028668959936,0.3578171846133406,0.24459889134380425,0.0009997535269026829,13.405257800011896
3,0.4959015877296527,0.4789689394334952,0.3975846174681784,0.29244301234458325,0.0009990143508499217,13.46726010000566
4,0.4674709352354209,0.7768953119715055,0.3272302397756034,0.2216008939127744,0.0009977832013192385,13.458944800004247
5,0.46597689638535184,0.6461856067180634,0.08381277662479064,0.06426090624572375,0.0009960612933065818,13.502016600003117
6,0.4354566639910142,0.5487578300138315,0.24132017298088504,0.18133689400321026,0.0009938503261272714,13.478907199998503
7,0.39925160724669695,0.46014626945058507,0.4291141799973323,0.3079769329544477,0.00099115248173898,13.457746800006134
8,0.4135471861809492,0.443691801900665,0.4299023707869828,0.33877116313738675,0.0009879704225884043,13.484827799999039
9,0.40475154916445416,0.43803174545367557,0.4490149356745326,0.3388680960582772,0.0009843072889837512,13.440757599993958
10,0.4045596228291591,0.3861405390004317,0.5162526975876707,0.40237421660782485,0.000980166695995633,13.439305499996408
11,0.37729351967573166,0.6563817883531252,0.22310932904388608,0.14024286000969788,0.0009755527298894294,13.472587600001134
12,0.3797290477280815,0.3909385030468305,0.524571374480141,0.41406484981110236,0.0009704699440926358,13.449480499999481
13,0.36593992449343204,0.37579870969057083,0.5371749848473204,0.4230215288905185,0.0009649233547011817,13.466625999993994
14,0.3698677523061633,0.38970286150773364,0.5305347485432713,0.4208392851513426,0.0009589184355291487,13.481775199994445
15,0.356357937057813,0.4339968568334977,0.46895003935742513,0.3835387888020624,0.000952461112706777,13.464338399993721
16,0.34840478592862684,0.39529700949788094,0.5137511886318235,0.3893860003083098,0.00094555775883209,13.464610600000015
17,0.3498613638803363,0.5278116799890995,0.3539121655950834,0.28953305130716206,0.0009382151866819101,13.464173400003347
18,0.3422528545682629,0.3706171816835801,0.5743684308914692,0.4729703693717352,0.0009304406424884702,13.532658800002537
19,0.334238985242943,0.35636709444224834,0.564996261959829,0.449061731915013,0.000922241798788257,13.580089800001588
20,0.3398559509466092,0.3485787343233824,0.5708484081997207,0.45390621017034816,0.0009136267468501441,13.5292538000067
21,0.3292846555511157,0.33214026130735874,0.603597066914153,0.4952968389023338,0.0009046039886902867,13.52749649999896
22,0.3163101291283965,0.334627619634072,0.5864143581767312,0.4707496637175561,0.0008951824286816578,13.50434879999375
23,0.31705431671192247,0.34241844589511555,0.590672160004648,0.4836527260102073,0.0008853713647665072,13.564570700007607
24,0.3210419462993741,0.36794965403775376,0.5468227436288939,0.42680543403935955,0.000875180479280415,13.54332899999281
25,0.308478578304251,0.32495136310656864,0.6064278397934326,0.48988849177488253,0.0008646198293969955,13.527438499993877
26,0.30561166582629085,0.329501761123538,0.618155579978754,0.5146642771291282,0.0008536998372026809,13.504237200002535
27,0.2949857547258337,0.3364609119792779,0.6031222937971178,0.5001360374181575,0.0008424312794113805,13.494210899996688
28,0.29315389196077984,0.3403528208533923,0.5890133882596382,0.471769311769345,0.0008308252767291645,13.496736500004772
29,0.2999349342038234,0.31950053945183754,0.6173397238674349,0.510959787608309,0.0008188932828794709,13.470137399999658
30,0.30112556740641594,0.30448583078881103,0.6365870193570502,0.5266091359389993,0.0008066470732996622,13.492491599987261
31,0.28712085789690417,0.3293242081999779,0.6142599129416744,0.5203775409655153,0.0007940987335200908,13.508690499991644
32,0.2826057343433301,0.40245879876116913,0.5182290718518714,0.4361353946724144,0.0007812606472371397,13.46899160000612
33,0.29299302988996107,0.295148358369867,0.6497023123264568,0.5494866369941674,0.0007681454840920092,13.495577499998035
34,0.3013644429544608,0.30187143695851165,0.6363898053854554,0.5310546881222115,0.000754766187167311,13.484279900003457
35,0.28221226017922163,0.32317964422206086,0.6193245952293615,0.5258164162344895,0.0007411359602138073,13.437372600004892
36,0.26960660703480244,0.36210877696673077,0.5615336644536737,0.4431924148268701,0.0007272682546199041,13.452513399999589
37,0.2745383617778619,0.3129255312184493,0.6268548922963461,0.5111930813093907,0.0007131767561367543,13.478752199996961
38,0.26910171828543145,0.3290268524239461,0.6146591665521984,0.5153099727329974,0.0006988753713720733,13.49020770000061
39,0.26667611999437213,0.32506378181278706,0.6295691219314042,0.5254830418847352,0.0006843782140659972,13.49524570000358
40,0.2624384667724371,0.30756989773362875,0.6384593322787386,0.5405446778887241,0.0006696995911625235,13.452083099997253
41,0.26033412913481396,0.2992760914688309,0.6493437140943215,0.5584397870077267,0.0006548539886902866,13.503201600004104
42,0.25805659002314013,0.29223255068063736,0.6557290777348787,0.5530774848740851,0.0006398560574665955,13.48017740000796
43,0.25439360349749524,0.3049916476011276,0.6384675151097947,0.5404851639078961,0.0006247205986388453,13.465398000000278
44,0.26221491303294897,0.2959088950107495,0.6545113753592612,0.5641532700446016,0.0006094625490775734,13.466170700005023
