epoch,train_loss,learning_rate,elapsed_seconds,cumulative_elapsed_seconds
1,0.6379073430115069,0.001,16.95030769999721,16.95030769999721
2,0.580900811813247,0.0009996667577609345,16.07052389997989,33.0208315999771
3,0.5065938494574855,0.000998667475689944,16.140949299995555,49.161780899972655
4,0.48383412940401427,0.000997003487132353,16.227474699990125,65.38925559996278
5,0.44514887601556913,0.0009946770123535175,16.26889549999032,81.6581510999531
6,0.4148184921540005,0.0009916911555763184,16.323160100000678,97.98131119995378
7,0.3919211739385632,0.0009880499008391858,16.34638579998864,114.32769699994242
8,0.37545430303459437,0.000983758106680184,16.425597000023117,130.75329399996554
9,0.37103618471555305,0.0009788214996542487,16.414563199999975,147.1678571999655
10,0.37136155513810437,0.0009732466666922259,16.43971259999671,163.60756979996222
11,0.3488799723940836,0.0009670410463119078,16.447229599987622,180.05479939994984
12,0.3448208125544266,0.0009602129186927951,16.468521400005557,196.5233207999554
13,0.33523262239677803,0.0009527713946278268,16.478838400013046,213.00215919996845
14,0.3234082802500523,0.0009447264033668181,16.479931099980604,229.48209029994905
15,0.33330924620091074,0.0009360886793678319,16.456036699994,245.93812699994305
16,0.31787263507574376,0.0009268697479741545,16.51927630000864,262.4574032999517
17,0.31411497651691167,0.000917081910035994,16.525335300015286,278.982738599967
18,0.3068047753522094,0.0009067382254974148,16.551864400011254,295.53460299997823
19,0.3076694922547945,0.0008958524959704124,16.516749200003687,312.0513521999819
20,0.30291622247494443,0.0008844392463193766,16.520831500005443,328.57218369998736
21,0.2987480169870484,0.000872513705280519,16.49559980002232,345.0677835000097
22,0.2954240542062571,0.0008600917851421187,16.517188500001794,361.5849720000115
23,0.2972975187528301,0.0008471900605127064,16.523510400002124,378.1084824000136
24,0.27926617776843865,0.0008338257462055085,16.52524999997695,394.63373239999055
25,0.27837016003232606,0.0008200166742686661,16.553968100022757,411.1877005000133
26,0.27620448969619377,0.0008057812701918756,16.52426020000712,427.7119607000204
27,0.2746762142214977,0.0007911385283211973,16.530904600018403,444.24286530003883
28,0.27525681047372413,0.0007761079865148376,16.51571719997446,460.7585825000133
29,0.28025078196340886,0.000760709700073721,16.504312700009905,477.2628952000232
30,0.2651423381667742,0.0007449642149816371,16.560476999991806,493.823372200015
31,0.2659492232430149,0.0007288925404906668,16.51583789999131,510.3392101000063
32,0.26704133448886197,0.0007125161210884696,16.53447569999844,526.8736858000048
33,0.25302660339315175,0.0006958568078848328,16.51528769999277,543.3889734999975
34,0.2547694361755546,0.0006789368294556657,16.541872300003888,559.9308458000014
