image_path,mask_path,class,class_id,num_masks,use_phase1,fold,split
benign\benign (1).png,benign\benign (1)_mask.png,benign,0,1,1,3,train
benign\benign (101).png,benign\benign (101)_mask.png,benign,0,1,1,3,train
benign\benign (104).png,benign\benign (104)_mask.png,benign,0,1,1,3,train
benign\benign (105).png,benign\benign (105)_mask.png,benign,0,1,1,3,train
benign\benign (106).png,benign\benign (106)_mask.png,benign,0,1,1,3,train
benign\benign (107).png,benign\benign (107)_mask.png,benign,0,1,1,3,train
benign\benign (108).png,benign\benign (108)_mask.png,benign,0,1,1,3,train
benign\benign (109).png,benign\benign (109)_mask.png,benign,0,1,1,3,train
benign\benign (11).png,benign\benign (11)_mask.png,benign,0,1,1,3,train
benign\benign (111).png,benign\benign (111)_mask.png,benign,0,1,1,3,train
benign\benign (114).png,benign\benign (114)_mask.png,benign,0,1,1,3,train
benign\benign (115).png,benign\benign (115)_mask.png,benign,0,1,1,3,train
benign\benign (116).png,benign\benign (116)_mask.png,benign,0,1,1,3,train
benign\benign (117).png,benign\benign (117)_mask.png,benign,0,1,1,3,train
benign\benign (118).png,benign\benign (118)_mask.png,benign,0,1,1,3,train
benign\benign (119).png,benign\benign (119)_mask.png,benign,0,1,1,3,train
benign\benign (120).png,benign\benign (120)_mask.png,benign,0,1,1,3,train
benign\benign (121).png,benign\benign (121)_mask.png,benign,0,1,1,3,train
benign\benign (123).png,benign\benign (123)_mask.png,benign,0,1,1,3,train
benign\benign (125).png,benign\benign (125)_mask.png,benign,0,1,1,3,train
benign\benign (126).png,benign\benign (126)_mask.png,benign,0,1,1,3,train
benign\benign (128).png,benign\benign (128)_mask.png,benign,0,1,1,3,train
benign\benign (129).png,benign\benign (129)_mask.png,benign,0,1,1,3,train
benign\benign (13).png,benign\benign (13)_mask.png,benign,0,1,1,3,train
benign\benign (131).png,benign\benign (131)_mask.png,benign,0,1,1,3,train
benign\benign (132).png,benign\benign (132)_mask.png,benign,0,1,1,3,train
benign\benign (133).png,benign\benign (133)_mask.png,benign,0,1,1,3,train
benign\benign (134).png,benign\benign (134)_mask.png,benign,0,1,1,3,train
benign\benign (135).png,benign\benign (135)_mask.png,benign,0,1,1,3,train
benign\benign (136).png,benign\benign (136)_mask.png,benign,0,1,1,3,train
benign\benign (137).png,benign\benign (137)_mask.png,benign,0,1,1,3,train
benign\benign (139).png,benign\benign (139)_mask.png,benign,0,1,1,3,train
benign\benign (14).png,benign\benign (14)_mask.png,benign,0,1,1,3,train
benign\benign (141).png,benign\benign (141)_mask.png,benign,0,1,1,3,train
