image_path,mask_path,class,class_id,num_masks,use_phase1,fold,split
benign\benign (1).png,benign\benign (1)_mask.png,benign,0,1,1,1,train
benign\benign (10).png,benign\benign (10)_mask.png,benign,0,1,1,1,train
benign\benign (101).png,benign\benign (101)_mask.png,benign,0,1,1,1,train
benign\benign (102).png,benign\benign (102)_mask.png,benign,0,1,1,1,train
benign\benign (103).png,benign\benign (103)_mask.png,benign,0,1,1,1,train
benign\benign (110).png,benign\benign (110)_mask.png,benign,0,1,1,1,train
benign\benign (112).png,benign\benign (112)_mask.png,benign,0,1,1,1,train
benign\benign (113).png,benign\benign (113)_mask.png,benign,0,1,1,1,train
benign\benign (115).png,benign\benign (115)_mask.png,benign,0,1,1,1,train
benign\benign (116).png,benign\benign (116)_mask.png,benign,0,1,1,1,train
benign\benign (117).png,benign\benign (117)_mask.png,benign,0,1,1,1,train
benign\benign (118).png,benign\benign (118)_mask.png,benign,0,1,1,1,train
benign\benign (119).png,benign\benign (119)_mask.png,benign,0,1,1,1,train
benign\benign (12).png,benign\benign (12)_mask.png,benign,0,1,1,1,train
benign\benign (120).png,benign\benign (120)_mask.png,benign,0,1,1,1,train
benign\benign (122).png,benign\benign (122)_mask.png,benign,0,1,1,1,train
benign\benign (124).png,benign\benign (124)_mask.png,benign,0,1,1,1,train
benign\benign (125).png,benign\benign (125)_mask.png,benign,0,1,1,1,train
benign\benign (127).png,benign\benign (127)_mask.png,benign,0,1,1,1,train
benign\benign (129).png,benign\benign (129)_mask.png,benign,0,1,1,1,train
benign\benign (13).png,benign\benign (13)_mask.png,benign,0,1,1,1,train
benign\benign (130).png,benign\benign (130)_mask.png,benign,0,1,1,1,train
benign\benign (131).png,benign\benign (131)_mask.png,benign,0,1,1,1,train
benign\benign (132).png,benign\benign (132)_mask.png,benign,0,1,1,1,train
benign\benign (134).png,benign\benign (134)_mask.png,benign,0,1,1,1,train
benign\benign (135).png,benign\benign (135)_mask.png,benign,0,1,1,1,train
benign\benign (138).png,benign\benign (138)_mask.png,benign,0,1,1,1,train
benign\benign (140).png,benign\benign (140)_mask.png,benign,0,1,1,1,train
benign\benign (141).png,benign\benign (141)_mask.png,benign,0,1,1,1,train
benign\benign (142).png,benign\benign (142)_mask.png,benign,0,1,1,1,train
benign\benign (143).png,benign\benign (143)_mask.png,benign,0,1,1,1,train
benign\benign (146).png,benign\benign (146)_mask.png,benign,0,1,1,1,train
benign\benign (149).png,benign\benign (149)_mask.png,benign,0,1,1,1,train
benign\benign (15).png,benign\benign (15)_mask.png,benign,0,1,1,1,train
benign\benign (150).png,benign\benign (150)_mask.png,benign,0,1,1,1,train
benign\benign (151).png,benign\benign (151)_mask.png,benign,0,1,1,1,train
benign\benign (154).png,benign\benign (154)_mask.png,benign,0,1,1,1,train
benign\benign (157).png,benign\benign (157)_mask.png,benign,0,1,1,1,train
benign\benign (158).png,benign\benign (158)_mask.png,benign,0,1,1,1,train
benign\benign (159).png,benign\benign (159)_mask.png,benign,0,1,1,1,train
benign\benign (16).png,benign\benign (16)_mask.png,benign,0,1,1,1,train
benign\benign (161).png,benign\benign (161)_mask.png,benign,0,1,1,1,train
benign\benign (162).png,benign\benign (162)_mask.png,benign,0,1,1,1,train
benign\benign (165).png,benign\benign (165)_mask.png,benign,0,1,1,1,train
benign\benign (166).png,benign\benign (166)_mask.png,benign,0,1,1,1,train
benign\benign (167).png,benign\benign (167)_mask.png,benign,0,1,1,1,train
benign\benign (17).png,benign\benign (17)_mask.png,benign,0,1,1,1,train
benign\benign (171).png,benign\benign (171)_mask.png,benign,0,1,1,1,train
benign\benign (172).png,benign\benign (172)_mask.png,benign,0,1,1,1,train
benign\benign (175).png,benign\benign (175)_mask.png,benign,0,1,1,1,train
benign\benign (182).png,benign\benign (182)_mask.png,benign,0,1,1,1,train
benign\benign (183).png,benign\benign (183)_mask.png,benign,0,1,1,1,train
benign\benign (184).png,benign\benign (184)_mask.png,benign,0,1,1,1,train
benign\benign (185).png,benign\benign (185)_mask.png,benign,0,1,1,1,train
benign\benign (186).png,benign\benign (186)_mask.png,benign,0,1,1,1,train
benign\benign (187).png,benign\benign (187)_mask.png,benign,0,1,1,1,train
benign\benign (188).png,benign\benign (188)_mask.png,benign,0,1,1,1,train
benign\benign (190).png,benign\benign (190)_mask.png,benign,0,1,1,1,train
benign\benign (191).png,benign\benign (191)_mask.png,benign,0,1,1,1,train
benign\benign (192).png,benign\benign (192)_mask.png,benign,0,1,1,1,train
benign\benign (193).png,benign\benign (193)_mask.png,benign,0,1,1,1,train
benign\benign (196).png,benign\benign (196)_mask.png,benign,0,1,1,1,train
benign\benign (197).png,benign\benign (197)_mask.png,benign,0,1,1,1,train
benign\benign (198).png,benign\benign (198)_mask.png,benign,0,1,1,1,train
benign\benign (20).png,benign\benign (20)_mask.png,benign,0,1,1,1,train
benign\benign (201).png,benign\benign (201)_mask.png,benign,0,1,1,1,train
benign\benign (202).png,benign\benign (202)_mask.png,benign,0,1,1,1,train
benign\benign (205).png,benign\benign (205)_mask.png,benign,0,1,1,1,train
benign\benign (206).png,benign\benign (206)_mask.png,benign,0,1,1,1,train
benign\benign (208).png,benign\benign (208)_mask.png,benign,0,1,1,1,train
benign\benign (209).png,benign\benign (209)_mask.png,benign,0,1,1,1,train
benign\benign (21).png,benign\benign (21)_mask.png,benign,0,1,1,1,train
benign\benign (212).png,benign\benign (212)_mask.png,benign,0,1,1,1,train
benign\benign (213).png,benign\benign (213)_mask.png,benign,0,1,1,1,train
benign\benign (216).png,benign\benign (216)_mask.png,benign,0,1,1,1,train
benign\benign (218).png,benign\benign (218)_mask.png,benign,0,1,1,1,train
benign\benign (219).png,benign\benign (219)_mask.png,benign,0,1,1,1,train
benign\benign (221).png,benign\benign (221)_mask.png,benign,0,1,1,1,train
benign\benign (222).png,benign\benign (222)_mask.png,benign,0,1,1,1,train
benign\benign (223).png,benign\benign (223)_mask.png,benign,0,1,1,1,train
benign\benign (224).png,benign\benign (224)_mask.png,benign,0,1,1,1,train
benign\benign (225).png,benign\benign (225)_mask.png,benign,0,1,1,1,train
benign\benign (226).png,benign\benign (226)_mask.png,benign,0,1,1,1,train
benign\benign (227).png,benign\benign (227)_mask.png,benign,0,1,1,1,train
benign\benign (228).png,benign\benign (228)_mask.png,benign,0,1,1,1,train
benign\benign (229).png,benign\benign (229)_mask.png,benign,0,1,1,1,train
benign\benign (230).png,benign\benign (230)_mask.png,benign,0,1,1,1,train
benign\benign (231).png,benign\benign (231)_mask.png,benign,0,1,1,1,train
benign\benign (232).png,benign\benign (232)_mask.png,benign,0,1,1,1,train
benign\benign (233).png,benign\benign (233)_mask.png,benign,0,1,1,1,train
benign\benign (235).png,benign\benign (235)_mask.png,benign,0,1,1,1,train
benign\benign (236).png,benign\benign (236)_mask.png,benign,0,1,1,1,train
benign\benign (238).png,benign\benign (238)_mask.png,benign,0,1,1,1,train
benign\benign (24).png,benign\benign (24)_mask.png,benign,0,1,1,1,train
benign\benign (240).png,benign\benign (240)_mask.png,benign,0,1,1,1,train
benign\benign (241).png,benign\benign (241)_mask.png,benign,0,1,1,1,train
benign\benign (242).png,benign\benign (242)_mask.png,benign,0,1,1,1,train
benign\benign (243).png,benign\benign (243)_mask.png,benign,0,1,1,1,train
benign\benign (244).png,benign\benign (244)_mask.png,benign,0,1,1,1,train
benign\benign (245).png,benign\benign (245)_mask.png,benign,0,1,1,1,train
benign\benign (246).png,benign\benign (246)_mask.png,benign,0,1,1,1,train
benign\benign (247).png,benign\benign (247)_mask.png,benign,0,1,1,1,train
benign\benign (250).png,benign\benign (250)_mask.png,benign,0,1,1,1,train
benign\benign (251).png,benign\benign (251)_mask.png,benign,0,1,1,1,train
benign\benign (252).png,benign\benign (252)_mask.png,benign,0,1,1,1,train
benign\benign (253).png,benign\benign (253)_mask.png,benign,0,1,1,1,train
benign\benign (256).png,benign\benign (256)_mask.png,benign,0,1,1,1,train
benign\benign (257).png,benign\benign (257)_mask.png,benign,0,1,1,1,train
benign\benign (259).png,benign\benign (259)_mask.png,benign,0,1,1,1,train
benign\benign (26).png,benign\benign (26)_mask.png,benign,0,1,1,1,train
benign\benign (260).png,benign\benign (260)_mask.png,benign,0,1,1,1,train
benign\benign (261).png,benign\benign (261)_mask.png,benign,0,1,1,1,train
benign\benign (263).png,benign\benign (263)_mask.png,benign,0,1,1,1,train
benign\benign (266).png,benign\benign (266)_mask.png,benign,0,1,1,1,train
benign\benign (267).png,benign\benign (267)_mask.png,benign,0,1,1,1,train
benign\benign (268).png,benign\benign (268)_mask.png,benign,0,1,1,1,train
benign\benign (269).png,benign\benign (269)_mask.png,benign,0,1,1,1,train
benign\benign (27).png,benign\benign (27)_mask.png,benign,0,1,1,1,train
benign\benign (270).png,benign\benign (270)_mask.png,benign,0,1,1,1,train
benign\benign (271).png,benign\benign (271)_mask.png,benign,0,1,1,1,train
benign\benign (272).png,benign\benign (272)_mask.png,benign,0,1,1,1,train
benign\benign (274).png,benign\benign (274)_mask.png,benign,0,1,1,1,train
benign\benign (275).png,benign\benign (275)_mask.png,benign,0,1,1,1,train
benign\benign (276).png,benign\benign (276)_mask.png,benign,0,1,1,1,train
benign\benign (277).png,benign\benign (277)_mask.png,benign,0,1,1,1,train
benign\benign (280).png,benign\benign (280)_mask.png,benign,0,1,1,1,train
benign\benign (283).png,benign\benign (283)_mask.png,benign,0,1,1,1,train
benign\benign (284).png,benign\benign (284)_mask.png,benign,0,1,1,1,train
benign\benign (285).png,benign\benign (285)_mask.png,benign,0,1,1,1,train
benign\benign (287).png,benign\benign (287)_mask.png,benign,0,1,1,1,train
benign\benign (290).png,benign\benign (290)_mask.png,benign,0,1,1,1,train
benign\benign (292).png,benign\benign (292)_mask.png,benign,0,1,1,1,train
benign\benign (293).png,benign\benign (293)_mask.png,benign,0,1,1,1,train
benign\benign (294).png,benign\benign (294)_mask.png,benign,0,1,1,1,train
